         19021055 function calls (19019013 primitive calls) in 630.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10452    0.115    0.000    0.239    0.000 /usr/lib/python3.10/asyncio/tasks.py:593(sleep)
    14737    0.029    0.000    0.231    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:891(_read_from_buffer)
     3058    0.031    0.000    0.214    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:730(_read_to_buffer_loop)
    14737    0.077    0.000    0.202    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:808(_finish_read)
   968844    0.189    0.000    0.189    0.000 {built-in method _pycaitlyn.StructValue_get_time_tag}
    21117    0.040    0.000    0.184    0.000 {method 'set_result' of '_asyncio.Future' objects}
     3058    0.108    0.000    0.177    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:845(_read_to_buffer)
    11781    0.061    0.000    0.176    0.000 /usr/lib/python3.10/asyncio/base_events.py:743(call_soon)
  1729382    0.174    0.000    0.174    0.000 {built-in method builtins.hasattr}
   968844    0.166    0.000    0.166    0.000 {built-in method _pycaitlyn.StructValue_get_stock_code}
     5184    0.052    0.000    0.139    0.000 /usr/lib/python3.10/asyncio/queues.py:138(put_nowait)
     9102    0.068    0.000    0.125    0.000 /usr/lib/python3.10/asyncio/queues.py:150(get)
    16552    0.092    0.000    0.121    0.000 /home/wolverine/bin/running/calculatorp3.py:905(on_data)
        5    0.000    0.000    0.120    0.024 /home/wolverine/bin/running/calculatorp3.py:1395(run)
        5    0.000    0.000    0.118    0.024 /home/wolverine/bin/running/calculatorp3.py:1370(entry)
     1016    0.006    0.000    0.117    0.000 /home/wolverine/bin/running/pycaitlynutils3.py:509(logmsg)
     93/3    0.001    0.000    0.116    0.039 <frozen importlib._bootstrap>:1022(_find_and_load)
     93/3    0.000    0.000    0.116    0.039 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   938998    0.116    0.000    0.116    0.000 {method 'decode' of 'bytes' objects}
     91/4    0.001    0.000    0.115    0.029 <frozen importlib._bootstrap>:664(_load_unlocked)
    357/3    0.001    0.000    0.115    0.038 {built-in method builtins.__import__}
     89/4    0.000    0.000    0.115    0.029 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.114    0.114 /home/wolverine/bin/running/calculatorp3.py:52(__init__)
        1    0.000    0.000    0.114    0.114 /home/wolverine/bin/running/calculator3.py:375(__init__)
    138/4    0.000    0.000    0.113    0.028 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     89/4    0.008    0.000    0.113    0.028 {built-in method builtins.exec}
        1    0.000    0.000    0.113    0.113 /home/wolverine/bin/running/calculator3.py:468(reload_module)
        1    0.000    0.000    0.112    0.112 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:1(<module>)
   862404    0.111    0.000    0.111    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1153    0.015    0.000    0.109    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:175(update_handler)
    11782    0.057    0.000    0.109    0.000 /usr/lib/python3.10/asyncio/base_events.py:772(_call_soon)
        1    0.000    0.000    0.109    0.109 /home/wolverine/bin/running/pycaitlynts3.py:1(<module>)
        1    0.000    0.000    0.108    0.108 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__init__.py:1(<module>)
    24848    0.093    0.000    0.106    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:114(calculate_indicators)
     1038    0.007    0.000    0.104    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:30(write)
   205/33    0.000    0.000    0.102    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   149160    0.056    0.000    0.097    0.000 /home/wolverine/bin/running/pycaitlynts3.py:337(set_sv_attr)
   198688    0.061    0.000    0.093    0.000 /home/wolverine/bin/running/pycaitlynts3.py:328(get_sv_attr)
   173852    0.045    0.000    0.093    0.000 /home/wolverine/bin/running/pycaitlyn.py:6890(set_double)
    46125    0.038    0.000    0.084    0.000 {built-in method builtins.isinstance}
      388    0.001    0.000    0.082    0.000 /home/wolverine/bin/running/pycaitlyn.py:11673(encode_string)
      388    0.082    0.000    0.082    0.000 {built-in method _pycaitlyn.TCDataCommunication_encode_string}
      707    0.004    0.000    0.080    0.000 /home/wolverine/bin/running/calculatorp3.py:653(ack_market_state)
     1038    0.008    0.000    0.079    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:96(write)
   124300    0.034    0.000    0.079    0.000 /home/wolverine/bin/running/pycaitlyn.py:6887(get_double)
    15897    0.017    0.000    0.079    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/concurrent.py:185(future_set_result_unless_cancelled)
   862404    0.078    0.000    0.078    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:93(flush)
      708    0.003    0.000    0.076    0.000 /home/wolverine/bin/running/calculatorp3.py:127(send_json)
    10367    0.013    0.000    0.075    0.000 /usr/lib/python3.10/asyncio/queues.py:59(_wakeup_next)
        1    0.000    0.000    0.074    0.074 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
      500    0.001    0.000    0.073    0.000 /home/wolverine/bin/running/pycaitlynutils3.py:518(debug)
      708    0.006    0.000    0.073    0.000 /home/wolverine/bin/running/calculatorp3.py:186(_forward_json)
     1296    0.006    0.000    0.072    0.000 /usr/lib/python3.10/asyncio/futures.py:309(_set_result_unless_cancelled)
     3058    0.010    0.000    0.067    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1111(read_from_fd)
      315    0.006    0.000    0.066    0.000 /home/wolverine/bin/running/calculator3.py:924(__logic_on_market_open)
     1297    0.014    0.000    0.065    0.000 /usr/lib/python3.10/asyncio/base_events.py:705(call_later)
    13658    0.053    0.000    0.064    0.000 /usr/lib/python3.10/asyncio/events.py:31(__init__)
     1815    0.012    0.000    0.063    0.000 /home/wolverine/bin/running/calculator3.py:854(_write_to_calcq)
  1014488    0.062    0.000    0.062    0.000 {method 'append' of 'list' objects}
   431202    0.061    0.000    0.061    0.000 {method 'endswith' of 'bytes' objects}
   106440    0.037    0.000    0.059    0.000 /home/wolverine/bin/running/pycaitlyn.py:6824(get_meta_id)
     1450    0.006    0.000    0.058    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1015(_add_io_state)
    24848    0.048    0.000    0.057    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:263(calculate_bands)
        1    0.000    0.000    0.056    0.056 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
     3058    0.056    0.000    0.056    0.000 {method 'recv_into' of '_socket.socket' objects}
      240    0.004    0.000    0.056    0.000 /home/wolverine/bin/running/calculatorp3.py:370(_on_reference)
        1    0.000    0.000    0.054    0.054 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
     1038    0.011    0.000    0.053    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command_factory_json.py:353(make_io_message)
        1    0.000    0.000    0.053    0.053 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
      240    0.050    0.000    0.052    0.000 /home/wolverine/bin/running/calculator3.py:2349(_on_reference)
    24896    0.020    0.000    0.052    0.000 /home/wolverine/bin/running/pycaitlyn.py:6815(__init__)
        1    0.000    0.000    0.051    0.051 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
     1814    0.007    0.000    0.051    0.000 /home/wolverine/bin/running/calculator3.py:860(_write_to_logicq)
      388    0.001    0.000    0.050    0.000 /home/wolverine/bin/running/pycaitlyn.py:11676(set_sva)
      388    0.050    0.000    0.050    0.000 {built-in method _pycaitlyn.TCDataCommunication_set_sva}
        1    0.000    0.000    0.049    0.049 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
     1297    0.017    0.000    0.049    0.000 /usr/lib/python3.10/asyncio/base_events.py:727(call_at)
   173852    0.048    0.000    0.048    0.000 {built-in method _pycaitlyn.StructValue_set_double}
     1096    0.005    0.000    0.047    0.000 /home/wolverine/bin/running/calculatorp3.py:1349(send)
      516    0.001    0.000    0.046    0.000 /home/wolverine/bin/running/pycaitlynutils3.py:521(info)
   431202    0.046    0.000    0.046    0.000 /home/wolverine/bin/running/calculator3.py:2162(assigned)
    14739    0.006    0.000    0.046    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
  265/190    0.001    0.000    0.045    0.000 /usr/lib/python3.10/typing.py:306(inner)
   124300    0.045    0.000    0.045    0.000 {built-in method _pycaitlyn.StructValue_get_double}
      577    0.005    0.000    0.045    0.000 /usr/lib/python3.10/asyncio/selector_events.py:333(remove_reader)
     1159    0.007    0.000    0.045    0.000 /home/wolverine/bin/running/calculatorp3.py:1319(_write)
      577    0.005    0.000    0.045    0.000 /usr/lib/python3.10/asyncio/selector_events.py:328(add_reader)
      388    0.002    0.000    0.045    0.000 /home/wolverine/bin/running/calculatorp3.py:196(_send_binary_raw)
      708    0.013    0.000    0.043    0.000 /home/wolverine/bin/running/calculator3.py:1465(_pack_json)
    81604    0.029    0.000    0.043    0.000 /home/wolverine/bin/running/pycaitlyn.py:6818(get_namespace)
      392    0.004    0.000    0.043    0.000 /home/wolverine/bin/running/calculator3.py:932(__logic_on_market_close)
      388    0.005    0.000    0.042    0.000 /home/wolverine/bin/running/calculatorp3.py:206(_forward_binary_raw)
   150636    0.042    0.000    0.042    0.000 {built-in method builtins.setattr}
    14739    0.025    0.000    0.040    0.000 {built-in method _abc._abc_instancecheck}
     1747    0.006    0.000    0.039    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
    74556    0.022    0.000    0.039    0.000 /home/wolverine/bin/running/pycaitlyn.py:6836(get_granularity)
    14737    0.026    0.000    0.038    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:985(_consume)
      578    0.008    0.000    0.037    0.000 /usr/lib/python3.10/asyncio/selector_events.py:252(_add_reader)
     1038    0.010    0.000    0.036    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command.py:58(__init__)
    24848    0.035    0.000    0.035    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:358(calculate_conviction)
     5183    0.027    0.000    0.034    0.000 /usr/lib/python3.10/asyncio/queues.py:176(get_nowait)
    15896    0.031    0.000    0.033    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1000(_maybe_add_error_listener)
      577    0.011    0.000    0.033    0.000 /usr/lib/python3.10/asyncio/selector_events.py:268(_remove_reader)
   201757    0.033    0.000    0.033    0.000 {built-in method builtins.getattr}
     1747    0.010    0.000    0.033    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
    14738    0.030    0.000    0.033    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:785(_start_read)
        1    0.000    0.000    0.030    0.030 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/__init__.py:1(<module>)
    10924    0.021    0.000    0.028    0.000 /usr/lib/python3.10/asyncio/selector_events.py:600(_process_events)
129584/129505    0.027    0.000    0.028    0.000 {built-in method builtins.len}
    24836    0.011    0.000    0.027    0.000 /home/wolverine/bin/running/pycaitlyn.py:6878(set_int_64)
    24836    0.011    0.000    0.026    0.000 /home/wolverine/bin/running/pycaitlyn.py:6827(set_meta_id)
