         5414355 function calls (5412403 primitive calls) in 647.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      389    0.002    0.000    0.374    0.001 /home/wolverine/bin/running/pycaitlyn.py:11694(worker_svm)
     3290    0.373    0.000    0.373    0.000 {method 'send' of '_socket.socket' objects}
      389    0.372    0.001    0.372    0.001 {built-in method _pycaitlyn.TCDataCommunication_worker_svm}
      389    0.001    0.000    0.369    0.001 /home/wolverine/bin/running/pycaitlyn.py:11670(decode_string)
      389    0.367    0.001    0.367    0.001 {built-in method _pycaitlyn.TCDataCommunication_decode_string}
     4067    0.039    0.000    0.357    0.000 /usr/lib/python3.10/asyncio/selector_events.py:333(remove_reader)
    16504    0.194    0.000    0.355    0.000 /usr/lib/python3.10/asyncio/tasks.py:593(sleep)
     4067    0.036    0.000    0.349    0.000 /usr/lib/python3.10/asyncio/selector_events.py:328(add_reader)
     7691    0.019    0.000    0.330    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1573(on_message)
    36938    0.169    0.000    0.325    0.000 /usr/lib/python3.10/asyncio/base_events.py:772(_call_soon)
      240    0.136    0.001    0.321    0.001 /home/wolverine/bin/running/calculatorp3.py:370(_on_reference)
     6449    0.051    0.000    0.317    0.000 /usr/lib/python3.10/ssl.py:1292(recv_into)
     7692    0.031    0.000    0.311    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1576(_on_message)
     4067    0.064    0.000    0.291    0.000 /usr/lib/python3.10/asyncio/selector_events.py:252(_add_reader)
    15458    0.089    0.000    0.287    0.000 /home/wolverine/bin/running/calculator3.py:814(dataReceived)
    16360    0.151    0.000    0.286    0.000 /usr/lib/python3.10/asyncio/queues.py:150(get)
     7692    0.061    0.000    0.280    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:186(put)
      320    0.188    0.001    0.278    0.001 /usr/lib/python3.10/random.py:380(shuffle)
     4067    0.077    0.000    0.264    0.000 /usr/lib/python3.10/asyncio/selector_events.py:268(_remove_reader)
     9729    0.109    0.000    0.264    0.000 /usr/lib/python3.10/asyncio/queues.py:138(put_nowait)
     6449    0.038    0.000    0.264    0.000 /usr/lib/python3.10/ssl.py:1150(read)
     1153    0.043    0.000    0.260    0.000 /home/wolverine/bin/running/calculatorp3.py:1175(read_loop)
   117187    0.103    0.000    0.259    0.000 {built-in method builtins.isinstance}
     6449    0.224    0.000    0.224    0.000 {method 'read' of '_ssl._SSLSocket' objects}
     7692    0.024    0.000    0.224    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1553(read_message)
     7692    0.069    0.000    0.215    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:209(put_nowait)
     7692    0.059    0.000    0.199    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:225(get)
    15458    0.079    0.000    0.199    0.000 /home/wolverine/bin/running/calculator3.py:824(process_data)
    42457    0.167    0.000    0.189    0.000 /usr/lib/python3.10/asyncio/events.py:31(__init__)
      998    0.012    0.000    0.182    0.000 /home/wolverine/bin/running/calculatorp3.py:127(send_json)
      998    0.013    0.000    0.170    0.000 /home/wolverine/bin/running/calculator3.py:1479(send_json)
      707    0.012    0.000    0.166    0.000 /home/wolverine/bin/running/calculator3.py:876(_ack_market_state)
      240    0.162    0.001    0.164    0.001 /home/wolverine/bin/running/calculator3.py:2349(_on_reference)
    33548    0.019    0.000    0.156    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
     7896    0.029    0.000    0.156    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1111(read_from_fd)
     8156    0.050    0.000    0.152    0.000 /usr/lib/python3.10/selectors.py:181(get_key)
     7699    0.051    0.000    0.147    0.000 /usr/lib/python3.10/functools.py:884(wrapper)
    33548    0.086    0.000    0.137    0.000 {built-in method _abc._abc_instancecheck}
     7692    0.050    0.000    0.136    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:256(get_nowait)
       18    0.004    0.000    0.130    0.007 /home/wolverine/bin/running/calculator3_test.py:36(work)
    19456    0.021    0.000    0.128    0.000 /usr/lib/python3.10/asyncio/queues.py:59(_wakeup_next)
       18    0.003    0.000    0.125    0.007 /home/wolverine/bin/running/calculator3_test.py:43(_work)
     7896    0.124    0.000    0.124    0.000 {method 'recv_into' of '_socket.socket' objects}
    33525    0.099    0.000    0.124    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:985(_consume)
     3200    0.024    0.000    0.124    0.000 /home/wolverine/bin/running/calculator3.py:854(_write_to_calcq)
     4067    0.035    0.000    0.121    0.000 /usr/lib/python3.10/selectors.py:352(register)
     1096    0.028    0.000    0.117    0.000 /home/wolverine/bin/running/calculatorp3.py:277(_give_up_binary_raw)
    33528    0.108    0.000    0.117    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:785(_start_read)
    36912    0.102    0.000    0.108    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1000(_maybe_add_error_listener)
     91/3    0.001    0.000    0.108    0.036 <frozen importlib._bootstrap>:1022(_find_and_load)
     91/3    0.000    0.000    0.108    0.036 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    356/2    0.001    0.000    0.108    0.054 {built-in method builtins.__import__}
     89/3    0.000    0.000    0.107    0.036 <frozen importlib._bootstrap>:664(_load_unlocked)
     87/3    0.000    0.000    0.107    0.036 <frozen importlib._bootstrap_external>:877(exec_module)
      998    0.038    0.000    0.106    0.000 /home/wolverine/bin/running/calculator3.py:1465(_pack_json)
    135/3    0.000    0.000    0.103    0.034 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     87/3    0.005    0.000    0.103    0.034 {built-in method builtins.exec}
        1    0.000    0.000    0.103    0.103 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:1(<module>)
    27838    0.077    0.000    0.101    0.000 /usr/lib/python3.10/asyncio/selector_events.py:600(_process_events)
        1    0.000    0.000    0.100    0.100 /home/wolverine/bin/running/pycaitlynts3.py:1(<module>)
        1    0.000    0.000    0.100    0.100 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__init__.py:1(<module>)
     1426    0.013    0.000    0.095    0.000 /home/wolverine/bin/running/calculatorp3.py:206(_forward_binary_raw)
     8156    0.043    0.000    0.095    0.000 /usr/lib/python3.10/selectors.py:70(__getitem__)
   205/33    0.000    0.000    0.094    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     4067    0.033    0.000    0.093    0.000 /usr/lib/python3.10/selectors.py:366(unregister)
    47875    0.067    0.000    0.092    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:901(_find_read_pos)
     7699    0.013    0.000    0.090    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:682(add_future)
   117047    0.072    0.000    0.090    0.000 /usr/lib/python3.10/random.py:239(_randbelow_with_getrandbits)
     9727    0.066    0.000    0.084    0.000 /usr/lib/python3.10/asyncio/queues.py:176(get_nowait)
     1184    0.008    0.000    0.084    0.000 /home/wolverine/bin/running/calculatorp3.py:227(__forward_binary_raw)
    11066    0.021    0.000    0.079    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
     8156    0.055    0.000    0.077    0.000 /usr/lib/python3.10/asyncio/selector_events.py:234(_ensure_fd_no_transport)
     1841    0.012    0.000    0.075    0.000 /home/wolverine/bin/running/calculatorp3.py:1349(send)
      121    0.031    0.000    0.073    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1354(periodic_ping)
     1424    0.006    0.000    0.073    0.000 /usr/lib/python3.10/asyncio/futures.py:309(_set_result_unless_cancelled)
        1    0.000    0.000    0.071    0.071 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
     1441    0.017    0.000    0.070    0.000 /usr/lib/python3.10/asyncio/base_events.py:705(call_later)
     2203    0.028    0.000    0.068    0.000 /home/wolverine/bin/running/calculator3.py:1458(_pack_binary_raw)
     1903    0.019    0.000    0.067    0.000 /home/wolverine/bin/running/calculatorp3.py:1319(_write)
     2521    0.009    0.000    0.066    0.000 /home/wolverine/bin/running/calculator3.py:860(_write_to_logicq)
     7699    0.052    0.000    0.064    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/gen.py:872(convert_yielded)
    16312    0.046    0.000    0.063    0.000 /usr/lib/python3.10/selectors.py:216(_fileobj_lookup)
     4067    0.040    0.000    0.063    0.000 /usr/lib/python3.10/selectors.py:235(register)
229019/228985    0.060    0.000    0.063    0.000 {built-in method builtins.len}
     7686    0.005    0.000    0.062    0.000 /home/wolverine/bin/running/pycaitlyn.py:10350(decode)
     1386    0.006    0.000    0.061    0.000 /home/wolverine/bin/running/calculator3.py:806(_write)
        1    0.000    0.000    0.060    0.060 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
     7686    0.056    0.000    0.056    0.000 {built-in method _pycaitlyn.TAMarketStatusNotification_decode}
     7695    0.016    0.000    0.056    0.000 /home/wolverine/bin/running/pycaitlyn.py:6753(__init__)
        1    0.000    0.000    0.055    0.055 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
      804    0.008    0.000    0.055    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
    35892    0.042    0.000    0.054    0.000 /usr/lib/python3.10/asyncio/base_events.py:696(time)
     7699    0.032    0.000    0.053    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:707(<lambda>)
        1    0.000    0.000    0.052    0.052 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
     1441    0.021    0.000    0.051    0.000 /usr/lib/python3.10/asyncio/base_events.py:727(call_at)
33562/33540    0.016    0.000    0.050    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
      389    0.001    0.000    0.050    0.000 /home/wolverine/bin/running/pycaitlyn.py:3677(__getitem__)
     7692    0.037    0.000    0.050    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:317(__put_internal)
      389    0.049    0.000    0.049    0.000 {built-in method _pycaitlyn.Uint32ToByteArrayMap___getitem__}
    13656    0.048    0.000    0.048    0.000 /usr/lib/python3.10/asyncio/tasks.py:581(__sleep0)
      804    0.013    0.000    0.048    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
  249/174    0.001    0.000    0.048    0.000 /usr/lib/python3.10/typing.py:306(inner)
   194383    0.046    0.000    0.046    0.000 {method 'decode' of 'bytes' objects}
     6613    0.036    0.000    0.045    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:180(full)
     7691    0.006    0.000    0.042    0.000 /home/wolverine/bin/running/pycaitlyn.py:6795(decode_string)
     3255    0.028    0.000    0.042    0.000 /home/wolverine/bin/running/calculatorp3.py:905(on_data)
     1903    0.019    0.000    0.039    0.000 /home/wolverine/bin/running/calculatorp3.py:957(pack_binary_raw)
     5670    0.032    0.000    0.039    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:651(writing)
   186445    0.021    0.000    0.038    0.000 /home/wolverine/bin/running/pycaitlyn.py:6934(get_name)
        4    0.000    0.000    0.036    0.009 /home/wolverine/bin/running/pycaitlyn.py:7118(metas)
     7686    0.014    0.000    0.036    0.000 /home/wolverine/bin/running/pycaitlyn.py:10320(__init__)
        4    0.036    0.009    0.036    0.009 {built-in method _pycaitlyn.IndexSchema_metas}
     7691    0.036    0.000    0.036    0.000 {built-in method _pycaitlyn.NetPackage_decode_string}
     2522    0.001    0.000    0.035    0.000 /home/wolverine/bin/running/pycaitlyn.py:7052(get_fields)
     2522    0.034    0.000    0.034    0.000 {built-in method _pycaitlyn.IndexMeta_get_fields}
33562/33540    0.034    0.000    0.034    0.000 {built-in method _abc._abc_subclasscheck}
     7706    0.015    0.000    0.034    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:750(_run_callback)
      804    0.034    0.000    0.034    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
        4    0.000    0.000    0.033    0.008 /home/wolverine/bin/running/pycaitlyn.py:7112(load)
        4    0.033    0.008    0.033    0.008 {built-in method _pycaitlyn.IndexSchema_load}
     7699    0.022    0.000    0.032    0.000 /usr/lib/python3.10/functools.py:818(dispatch)
       25    0.003    0.000    0.032    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/simple_httpclient.py:288(run)
   186445    0.021    0.000    0.032    0.000 /home/wolverine/bin/running/pycaitlyn.py:6928(get_pos)
     8064    0.030    0.000    0.032    0.000 /usr/lib/python3.10/asyncio/base_events.py:427(create_future)
     5104    0.015    0.000    0.031    0.000 /home/wolverine/bin/running/calculator3.py:322(dump)
     4067    0.031    0.000    0.031    0.000 {method 'unregister' of 'select.epoll' objects}
   186445    0.020    0.000    0.031    0.000 /home/wolverine/bin/running/pycaitlyn.py:6940(get_type)
   504904    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
       64    0.007    0.000    0.030    0.000 /home/wolverine/bin/running/calculatorp3.py:1275(keepalive_loop)
     4067    0.016    0.000    0.029    0.000 /usr/lib/python3.10/selectors.py:248(unregister)
    40227    0.029    0.000    0.029    0.000 {built-in method builtins.min}
    10337    0.029    0.000    0.029    0.000 {built-in method _struct.pack}
     4359    0.014    0.000    0.029    0.000 /home/wolverine/bin/running/calculator3.py:313(load)
     8149    0.018    0.000    0.029    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:784(split_fd)
     7165    0.022    0.000    0.029    0.000 {built-in method _heapq.heappop}
   108377    0.029    0.000    0.029    0.000 /usr/lib/python3.10/asyncio/base_events.py:1927(get_debug)
    74395    0.028    0.000    0.028    0.000 {method 'append' of 'collections.deque' objects}
      388    0.003    0.000    0.028    0.000 /home/wolverine/bin/running/calculator3.py:1451(_send_binary_raw)
     1441    0.020    0.000    0.028    0.000 /usr/lib/python3.10/asyncio/events.py:148(cancel)
     3362    0.019    0.000    0.028    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:178(advance)
    89506    0.028    0.000    0.028    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:655(closed)
     7695    0.028    0.000    0.028    0.000 {built-in method _pycaitlyn.NetPackage_swiginit}
    12051    0.022    0.000    0.026    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:996(_check_closed)
    34705    0.025    0.000    0.025    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.025    0.008 /home/wolverine/bin/running/calculator3.py:633(recycle_loop)
    33466    0.025    0.000    0.025    0.000 {method 'tobytes' of 'memoryview' objects}
        1    0.000    0.000    0.025    0.025 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__config__.py:1(<module>)
     5679    0.018    0.000    0.024    0.000 /usr/lib/python3.10/asyncio/base_events.py:1817(_add_callback)
     5519    0.022    0.000    0.024    0.000 /usr/lib/python3.10/asyncio/events.py:64(cancel)
     1947    0.008    0.000    0.024    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1355(writing)
        1    0.000    0.000    0.024    0.024 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/__init__.py:1(<module>)
    12366    0.024    0.000    0.024    0.000 {built-in method _struct.unpack}
        1    0.023    0.023    0.023    0.023 {built-in method gc.collect}
     4067    0.023    0.000    0.023    0.000 {method 'register' of 'select.epoll' objects}
     3362    0.023    0.000    0.023    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:161(peek)
       64    0.002    0.000    0.022    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1051(_write_frame)
       60    0.001    0.000    0.022    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1119(write_ping)
        1    0.000    0.000    0.022    0.022 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
     1441    0.008    0.000    0.022    0.000 /usr/lib/python3.10/asyncio/events.py:103(__init__)
      315    0.006    0.000    0.021    0.000 /home/wolverine/bin/running/calculator3.py:924(__logic_on_market_open)
       60    0.000    0.000    0.021    0.000 /usr/lib/python3.10/typing.py:1040(__or__)
        4    0.000    0.000    0.021    0.005 /home/wolverine/bin/running/pycaitlyn.py:7135(update_schema_from_binary)
        4    0.021    0.005    0.021    0.005 {built-in method _pycaitlyn.IndexSerializer_update_schema_from_binary}
        4    0.000    0.000    0.021    0.005 /home/wolverine/bin/running/pycaitlyn.py:7109(save)
        4    0.021    0.005    0.021    0.005 {built-in method _pycaitlyn.IndexSchema_save}
     8156    0.020    0.000    0.020    0.000 /usr/lib/python3.10/weakref.py:134(__getitem__)
