         2227295 function calls (2225323 primitive calls) in 81.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.108    0.108 /home/wolverine/bin/running/pycaitlynts3.py:1(<module>)
        1    0.000    0.000    0.108    0.108 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__init__.py:1(<module>)
      219    0.011    0.000    0.103    0.000 /home/wolverine/bin/running/calculator3.py:652(read_loop)
   205/33    0.000    0.000    0.102    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       18    0.000    0.000    0.078    0.004 /home/wolverine/bin/running/calculator3.py:1314(_decode_sva)
        1    0.000    0.000    0.074    0.074 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
     3616    0.012    0.000    0.068    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:891(_read_from_buffer)
     1341    0.012    0.000    0.067    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:730(_read_to_buffer_loop)
      524    0.004    0.000    0.066    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:771(_handle_read)
        1    0.000    0.000    0.063    0.063 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.060    0.060 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.060    0.060 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
      883    0.004    0.000    0.059    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1220(_handle_message)
        1    0.000    0.000    0.059    0.059 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
      698    0.007    0.000    0.059    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:175(update_handler)
     3616    0.021    0.000    0.056    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:808(_finish_read)
        1    0.000    0.000    0.054    0.054 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
      882    0.007    0.000    0.053    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:650(_run_callback)
