         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64188    0.059    0.000    0.080    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:50(flush)
     1407    0.005    0.000    0.080    0.000 /home/wolverine/bin/running/pycaitlynutils3.py:509(logmsg)
     1597    0.020    0.000    0.079    0.000 /home/wolverine/bin/running/composite_strategyc3.py:82(_save)
   857607    0.077    0.000    0.077    0.000 {built-in method _pycaitlyn.StructValue_get_market}
        1    0.000    0.000    0.075    0.075 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
   362592    0.075    0.000    0.075    0.000 /home/wolverine/bin/running/strategyc3.py:1032(is_multiplier_ready)
     3125    0.013    0.000    0.075    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command_factory_json.py:353(make_io_message)
       18    0.000    0.000    0.075    0.004 /home/wolverine/bin/running/calculator3.py:1314(_decode_sva)
   888028    0.073    0.000    0.073    0.000 {built-in method _pycaitlyn.StructValue_get_stock_code}
     1595    0.002    0.000    0.067    0.000 /home/wolverine/bin/running/strategyc3.py:313(sv_copy)
     1595    0.005    0.000    0.066    0.000 /home/wolverine/bin/running/pycaitlynts3.py:310(copy_to_sv)
        1    0.000    0.000    0.064    0.064 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
    31940    0.018    0.000    0.059    0.000 /home/wolverine/bin/running/composite_strategyc3.py:74(_get_array)
        1    0.000    0.000    0.059    0.059 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.058    0.058 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
      191    0.022    0.000    0.057    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.056    0.056 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
     1595    0.003    0.000    0.056    0.000 /home/wolverine/bin/running/composite_strategyc3.py:180(to_sv)
   186462    0.036    0.000    0.056    0.000 /home/wolverine/bin/running/pycaitlynts3.py:337(set_sv_attr)
      102    0.008    0.000    0.055    0.001 /home/wolverine/bin/running/calculatorp3.py:1175(read_loop)
  263/188    0.001    0.000    0.054    0.000 /usr/lib/python3.10/typing.py:306(inner)
     1595    0.034    0.000    0.053    0.000 /home/wolverine/bin/running/pycaitlynts3.py:343(to_sv)
     3125    0.015    0.000    0.052    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command.py:58(__init__)
